com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:06,892 com.hrm.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:07,064 com.hrm.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:07,079 com.hrm.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:11,242 com.hrm.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:12,201 com.hrm.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testAutoLoginLogout1 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:12,214 com.hrm.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:12,219 com.hrm.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:12,219 com.hrm.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:12,518 com.hrm.base.BaseTest.closeApplication(BaseTest.java:98) Closing Browser 
com.hrm.scripts.TestSearchButton 2017-04-01 17:43:13,255 com.hrm.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.hrm.scripts.TestSearchButton 2017-04-01 17:43:17,025 com.hrm.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.hrm.scripts.TestSearchButton 2017-04-01 17:43:17,230 com.hrm.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testSearchButton 
com.hrm.pages.EmpInfoPage 2017-04-01 17:43:18,501 com.hrm.base.BasePage.checkElementIsPresent(BasePage.java:42) PASS:Element is present 
com.hrm.scripts.TestSearchButton 2017-04-01 17:43:18,501 com.hrm.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.hrm.scripts.TestSearchButton 2017-04-01 17:43:18,502 com.hrm.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.hrm.scripts.TestSearchButton 2017-04-01 17:43:18,788 com.hrm.base.BaseTest.closeApplication(BaseTest.java:98) Closing Browser 
com.hrm.scripts.LoginLogoutTest 2017-04-01 17:43:19,402 com.hrm.base.BaseTest.publishReport(BaseTest.java:72) Publishing ExtentReport:./report/01_04_2017_05_43_06.html 
com.hrm.scripts.TestLoginButtonIsPresent 2017-04-01 18:24:12,592 com.hrm.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.hrm.scripts.TestLoginButtonIsPresent 2017-04-01 18:24:12,764 com.hrm.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.hrm.scripts.TestLoginButtonIsPresent 2017-04-01 18:24:12,764 com.hrm.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.hrm.scripts.TestLoginButtonIsPresent 2017-04-01 18:24:17,055 com.hrm.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testLoginButtonIsPresent 
com.hrm.pages.LoginPage 2017-04-01 18:24:17,130 com.hrm.base.BasePage.checkElementIsPresent(BasePage.java:42) PASS:Element is present 
com.hrm.scripts.TestLoginButtonIsPresent 2017-04-01 18:24:17,130 com.hrm.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.hrm.scripts.TestLoginButtonIsPresent 2017-04-01 18:24:17,130 com.hrm.base.BaseTest.closeApplication(BaseTest.java:98) Closing Browser 
com.hrm.scripts.TestLoginButtonIsPresent 2017-04-01 18:24:17,911 com.hrm.base.BaseTest.publishReport(BaseTest.java:72) Publishing ExtentReport:./report/01_04_2017_06_24_12.html 
